text,probability,gender
"Александр",0.06634643549790259,m
"Сергей",0.059394995556771926,m
"Владимир",0.040348376192944,m
"Андрей",0.0354995695994903,m
"Алексей",0.03528047659689214,m
"Дмитрий",0.028735576911627665,m
"Елена",0.027654492166784,f
"Татьяна",0.024134944436292573,f
"Евгений",0.022205744449995044,m
"Николай",0.021709167228596254,m
"Наталья",0.021392938720456563,f
"Ольга",0.021225596364375113,f
"Юрий",0.020241051763652873,m
"Игорь",0.019810101689562435,m
"Михаил",0.019130885903288757,m
"Ирина",0.01811767236033691,f
"Виктор",0.017812206154791406,m
"Светлана",0.01707725538018956,f
"Олег",0.016909592444881896,m
"Валерий",0.012851929584681369,m
"Анатолий",0.011735489530890007,m
"Людмила",0.011489055699999395,f
"Галина",0.011352259964472495,f
"Павел",0.011269642118175029,m
"Иван",0.010497687341462123,m
"Максим",0.010313491677488506,m
"Марина",0.009912034892209357,f
"Анна",0.009696926231422662,f
"Вячеслав",0.009603408691434069,m
"Юлия",0.009225812159991383,f
"Валентина",0.009177084117607513,f
"Денис",0.00903131216374674,m
"Роман",0.008972279789091844,m
"Екатерина",0.008877021961875254,f
"Константин",0.008803242942814711,m
"Надежда",0.008658478523664883,f
"Виталий",0.008637228700670414,m
"Василий",0.00783976497695768,m
"Мария",0.007120430990375479,f
"Любовь",0.0066583847313427015,f
"Геннадий",0.006346964911596156,m
"Антон",0.0063446292629480575,m
"Вадим",0.006264255471234059,m
"Нина",0.005987641396047423,f
"Оксана",0.005708737469245003,f
"Лариса",0.0055698350702315805,f
"Илья",0.005060755259010612,m
"Анастасия",0.005014820835597997,f
"Борис",0.004928630820779909,m
"Руслан",0.004391065255458594,m
"Станислав",0.004247170979922764,m
"Владислав",0.004221753626987569,m
"Вера",0.0042187310228547345,f
"Петр",0.004084362530040564,m
"Леонид",0.004015941763760955,m
"Артем",0.00388816804360024,m
"Наталия",0.0037021404983339956,f
"Евгения",0.003549086816335032,f
"Эдуард",0.0034039102238943636,m
"Тамара",0.0033745085291477044,f
"Виктория",0.0033026071884121053,f
"Кирилл",0.00322685889696199,m
"Александра",0.00305008235222351,f
"Лидия",0.0029894012844052494,f
"Григорий",0.0025494749919809396,m
"Георгий",0.0024542629617966653,m
"Артур",0.002392436968170513,m
"Валентин",0.0023808045219623334,m
"Алла",0.0022445125537909043,f
"Никита",0.002070575425055996,m
"Инна",0.0020061847976201664,f
"Раиса",0.0017343336137943593,f
"Лилия",0.001703008443690442,f
"Маргарита",0.0016819418088252346,f
"Ксения",0.001656341267760776,f
"Марат",0.0016453041829727,m
"Олеся",0.0016428311432276539,f
"Дарья",0.0016023007696282874,f
"Альберт",0.0014839154410922848,m
"Антонина",0.0014471862211751188,f
"Федор",0.001426852338826962,m
"Зинаида",0.0013580651962888284,f
"Яна",0.001266287943528229,f
"Тимур",0.0012492514475068003,m
"Кристина",0.0012485644920220654,f
"Егор",0.0011966764544084133,m
"Жанна",0.0011876544390422264,f
"Зоя",0.0011868758894928602,f
"Аркадий",0.0011484979764123302,m
"Рустам",0.0011053113749386549,m
"Алена",0.0010752685217395766,f
"Ринат",0.0010704598333464313,m
"Артём",0.0009286264242648066,m
"Альбина",0.000915162096764,f
"Алина",0.0009022015366186659,f
"Эльвира",0.0008997284968736198,f
"Лев",0.0008905690904104861,m
"Магомед",0.0008788908471699907,m
"Елизавета",0.0008778375154267303,f
"Валерия",0.000875685054907894,f
"Ильдар",0.000856633489464576,m
"Степан",0.0008123935562476403,m
"Вероника",0.0007932961937720067,f
"Ярослав",0.0007824880941455089,m
"Рамиль",0.0007605513156663038,m
"Даниил",0.0007436522107418221,m
"Семен",0.0007400342451888844,m
"А.",0.0006832917221497713,m
"Полина",0.0006533404630153242,f
"Алевтина",0.0006476616310081814,f
"Диана",0.000629892382469702,f
"Римма",0.0006035132918558771,f
"Шамиль",0.0005976970687517873,m
"Герман",0.0005920182367446443,m
"Анжелика",0.0005823092658937227,f
"Яков",0.0005671504481972365,m
"Роберт",0.0005658681312923977,m
"Алёна",0.0005511214868867525,f
"Радик",0.0005324362977019598,m
"Данил",0.0005211702277523055,m
"Дамир",0.0005197963167828354,m
"Рустем",0.0005151708165189529,m
"Наиль",0.0005146670491634806,m
