text,probability,gender
"Иванов",0.0057076351362749835,m
"Кузнецов",0.0038893669849480316,m
"Попов",0.0032179724402159994,m
"Смирнов",0.003206815767601443,m
"Иванова",0.002851796431794275,f
"Васильев",0.002614649767523508,m
"Петров",0.002598965749500146,m
"Кузнецова",0.002006907543360516,f
"Волков",0.001866452041749239,m
"Соколов",0.0018564811024560364,m
"Козлов",0.0018560499267028167,m
"Новиков",0.001849690084342828,m
"Морозов",0.0018357307693323442,m
"Павлов",0.0017702998487812737,m
"Михайлов",0.0017575262670921437,m
"Федоров",0.0017081027463793498,m
"Смирнова",0.0016715067043248384,f
"Степанов",0.0016524810742140246,m
"Семенов",0.0016177175291106963,m
"Макаров",0.001617340250326629,m
"Егоров",0.0016075310019408838,m
"Алексеев",0.00155525094186301,m
"Андреев",0.0015532028570352172,m
"Попова",0.0015515859479606439,f
"Захаров",0.0015107859423122414,m
"Николаев",0.0014324197491645835,m
"Васильева",0.0014143642644985138,f
"Зайцев",0.0014126934584547878,m
"Яковлев",0.0014019140646242985,m
"Романов",0.0013864995314466987,m
"Никитин",0.0013695758831328304,m
"Лебедев",0.001358203622641664,m
"Петрова",0.0013185893503146154,f
"Сергеев",0.0013114210534173401,m
"Борисов",0.001303444301982778,m
"Орлов",0.0012421634480564456,m
"Григорьев",0.001227611266385285,m
"Соловьев",0.0012136519513748013,m
"Киселев",0.0011847631759090895,m
"Кузьмин",0.001167785630626069,m
"Тарасов",0.0011637433579396352,m
"Воробьев",0.0011523172004793164,m
"Фролов",0.0011446099338905166,m
"Медведев",0.0011374955339623937,m
"Шевченко",0.0011097924918180358,u
"Сорокин",0.001090874655645527,m
"Жуков",0.0010792329103085983,m
"Ковалев",0.0010693697649537006,m
"Бондаренко",0.0010459784803415386,u
"Баранов",0.0010382173167835863,m
"Поляков",0.0010373549652771472,m
"Филиппов",0.0010307256380713962,m
"Белов",0.0010285158623361459,m
"Дмитриев",0.0010215092563463277,m
"Мельников",0.0010189760987961627,m
"Гусев",0.0010185449230429432,m
"Соколова",0.0010122928746212592,f
"Максимов",0.0010062025171070329,m
"Ким",0.0009917581293741769,u
"Волкова",0.0009880931354718106,f
"Александров",0.0009792540325308094,m
